propertyId,postalCode,typeOfProperty,subtypeOfProperty,price,typeOfSale,numberOfRooms,livingArea,equippedKitchen,furnished,openFire,garden,surfaceOfGood,numberOfFacades,swimmingPool,stateOfBuilding,terraceSurface,hasBasement,hasDisabledAccess,hasLift,livingRoomSurface,electricalInstallationCertificate,gScore,heatingType,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,hasDoubleGlazing,epcScore,primaryEnergyConsumptionPerSqm,renovationObligation,cadastralIncome,parkingCountIndoor,parkingCountOutdoor
11218487,8300,1,1,1295000,0,1,64.0,-1,0,0,0,64.0,2,0,2,0,1,0,1,25,-1,2,0,-1,0,0,1,-1,-1,-1,-1,0,0
11219514,1040,1,1,325000,0,6,71.0,1,0,0,0,71.0,-1,0,-1,0,1,1,1,21,1,-1,3,0,0,0,1,-1,-1,-1,1167,1,0
11220872,2970,1,1,640000,0,5,145.0,1,0,0,0,145.0,3,0,-1,22,-1,-1,-1,0,1,0,-1,1,-1,-1,1,-1,-1,-1,-1,0,0
11222457,9100,1,1,265000,0,5,118.0,-1,0,0,100,118.0,3,0,1,10,-1,1,0,0,-1,-1,0,-1,-1,-1,1,6,-1,1,-1,3,2
11224644,8301,1,1,875000,0,1,215.0,-1,0,0,0,215.0,-1,0,3,0,-1,0,0,0,-1,2,0,-1,0,0,1,6,616,1,1289,1,0
11225037,7940,0,0,90000,0,3,0.0,-1,0,0,-1,560.0,3,0,-1,0,-1,0,0,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,357,0,0
11226289,7522,0,14,699000,0,7,270.0,1,0,0,-1,4000.0,4,0,1,0,-1,0,0,70,-1,-1,-1,-1,-1,-1,-1,3,173,-1,1243,2,2
11227828,2880,1,1,510000,0,9,142.0,3,0,0,0,142.0,-1,0,2,15,-1,0,1,49,1,0,-1,0,0,0,1,1,-1,0,-1,0,0
11227829,2880,1,1,560000,0,9,149.0,3,0,0,0,149.0,-1,0,2,11,-1,0,1,65,1,0,-1,0,0,0,1,1,-1,0,-1,0,0
11227832,8300,1,1,899000,0,4,61.0,-1,0,0,0,61.0,-1,0,2,0,-1,-1,1,0,1,0,-1,0,0,0,-1,2,115,0,-1,0,0
11228752,1000,1,1,1200000,0,9,232.0,3,0,0,0,232.0,2,0,1,0,-1,0,1,70,-1,-1,0,-1,-1,-1,1,2,90,-1,-1,1,0
11228818,7170,0,0,179999,0,9,153.0,2,0,0,30,135.0,3,0,1,10,1,0,0,26,-1,-1,0,-1,-1,-1,-1,5,413,-1,411,0,0
11229328,2170,1,1,198000,0,3,80.0,-1,0,0,0,80.0,-1,0,1,12,-1,-1,-1,13,1,2,0,-1,-1,-1,1,2,116,0,944,0,0
11230472,7712,0,0,145000,0,6,143.0,2,0,0,-1,135.0,3,0,1,0,1,0,0,42,-1,-1,0,-1,-1,-1,1,6,486,-1,575,1,0
11230823,3545,0,0,368617,0,4,125.0,-1,0,0,-1,1584.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0
11231622,1160,1,21,180000,0,4,50.0,1,0,0,0,50.0,-1,0,1,0,-1,1,1,33,-1,-1,3,-1,-1,-1,1,-1,431,-1,976,0,0
11231629,1160,1,21,140000,0,3,35.0,1,0,0,0,35.0,-1,0,1,0,-1,1,1,20,-1,-1,3,-1,-1,-1,1,5,260,-1,976,0,0
11231691,1090,0,0,300000,0,2,130.0,0,0,0,-1,-1.0,2,0,3,0,1,0,0,20,1,-1,0,0,0,0,-1,4,156,-1,-1,0,0
11232468,9190,0,0,362000,0,4,195.0,-1,0,0,-1,173.0,2,0,1,0,-1,0,0,0,-1,-1,-1,1,1,-1,1,-1,-1,-1,-1,0,1
11233361,4000,1,1,345000,0,8,120.0,1,0,0,0,120.0,3,0,1,6,1,1,1,24,-1,-1,0,0,0,0,1,3,195,-1,1450,1,0
11234264,8670,1,1,425000,0,5,95.0,3,0,0,0,95.0,2,0,4,5,-1,-1,1,30,-1,0,3,-1,-1,-1,1,3,225,0,1011,1,0
11235888,3202,0,0,435000,0,6,190.0,-1,0,0,-1,850.0,4,0,-1,0,1,0,0,40,0,2,0,0,0,0,1,3,259,-1,1,1,0
11235920,8300,0,0,750000,0,14,0.0,-1,0,0,-1,77.0,-1,0,3,0,-1,0,0,0,0,0,-1,0,0,0,-1,5,422,1,1869,1,0
11235985,8570,1,1,275000,0,10,86.0,-1,0,0,0,86.0,-1,0,1,0,-1,-1,1,0,1,-1,0,0,0,0,1,-1,-1,-1,701,1,0
11236506,4800,1,1,125000,0,4,65.0,2,0,0,0,65.0,2,0,2,0,1,0,1,24,-1,-1,0,-1,-1,-1,1,3,247,-1,885,0,0
11236679,7100,0,0,179999,0,7,156.0,2,0,0,-1,538.0,2,0,0,0,1,0,0,34,-1,-1,1,-1,-1,-1,1,5,343,-1,446,2,0
11237296,5620,0,0,193960,0,8,145.0,4,0,0,1,417.0,4,0,-1,0,-1,0,0,0,-1,-1,-1,0,0,0,1,-1,-1,-1,-1,1,2
11237348,3910,1,1,299000,0,0,184.0,-1,0,0,0,184.0,2,0,-1,0,-1,0,0,0,0,0,0,0,0,0,1,2,131,-1,1487,0,0
11237575,4210,0,12,330500,0,7,0.0,-1,0,0,1,526.0,4,0,-1,0,1,0,0,0,-1,-1,0,0,1,0,1,-1,-1,-1,-1,1,2
