id,subtype,bedroomCount,postCode,habitableSurface,hasDressingRoom,buildingCondition,buildingConstructionYear,facedeCount,hasHeatPump,hasPhotovoltaicPanels,hasThermicPanels,kitchenType,landSurface,parkingCountOutdoor,hasOffice,toiletCount,hasSwimmingPool,hasFireplace,terraceSurface,price,epc_kwh
20661494,309460,2,4087,100,0,337048,2004,1,0,0,0,270162,0,0,0,1,0,0,7,399000,175
20644816,309460,2,4087,87,0,395196,1970,2,0,0,0,422399,0,0,0,1,0,0,2,465000,425
20659813,309460,2,4087,104,0,395196,2018,3,0,0,0,422399,0,0,0,2,0,0,3,590000,125
20633249,175424,1,4087,71,0,395196,1906,2,0,0,0,336419,0,0,0,1,0,0,0,289000,325
20639359,309460,2,4087,90,0,279630,1958,2,0,0,0,336419,0,0,0,1,0,0,2,375000,225
20634655,359252,2,4087,187,0,395196,2023,3,0,0,0,422399,0,1,1,2,0,0,25,795000,175
20651309,309460,1,4087,93,0,279630,1947,2,0,0,0,336419,0,0,0,1,0,0,5,297000,425
20644613,309460,2,4087,120,1,337048,1932,2,0,0,0,336419,0,0,0,1,0,0,4,435000,525
20577219,309460,3,4087,119,0,266634,1944,2,0,0,0,266731,0,0,0,1,0,0,2,370000,325
20653897,466707,2,4087,137,0,395196,2024,2,0,0,0,422399,0,0,0,1,0,0,37,735000,125
20654056,309460,2,4087,110,0,279630,1946,2,0,0,0,336419,0,0,0,1,0,0,0,360000,325
20662093,309460,3,4087,100,0,337048,2014,2,0,0,0,336419,0,0,0,1,0,0,5,449000,175
20490300,309460,1,4087,61,0,395196,2015,2,0,0,0,422399,0,0,0,1,0,0,9,329000,175
20534554,306182,2,4087,106,0,337048,1994,3,0,0,0,422399,0,0,0,1,0,0,37,350000,225
20638165,466707,2,4087,187,0,347917,1912,3,0,0,0,422399,0,0,1,3,0,0,25,795000,175
20605989,309460,1,4087,52,0,266634,1933,2,0,0,0,270162,0,0,0,1,0,0,0,198000,525
20461191,466707,3,4087,229,1,337048,1932,2,0,0,0,429914,0,0,0,2,0,1,45,739000,225
20577692,417314,3,4087,277,0,266634,1920,2,0,0,0,270162,90,0,1,4,0,0,0,660000,425
20381833,309460,1,4087,65,0,347917,1955,2,0,0,0,422399,0,0,1,1,0,0,8,325000,425
20622549,309460,1,4087,80,0,266634,1909,2,0,0,0,336419,0,0,1,1,0,0,12,230000,425
20596196,309460,2,4087,101,0,395196,2018,3,0,0,0,336419,0,0,0,2,0,0,0,425000,175
20628036,462373,3,4087,178,0,266634,1899,2,0,0,0,270162,70,0,1,2,0,0,10,549000,325
20646355,309460,2,4087,93,0,395196,2010,2,0,0,0,422399,0,0,1,1,0,0,0,450000,175
20439478,309460,2,4087,100,0,279630,1956,2,0,0,0,270162,0,0,0,1,0,0,0,315000,425
20179826,309460,3,4087,183,0,337048,1990,2,0,0,0,422399,0,0,0,4,0,0,16,795000,175
20634333,309460,2,4087,187,0,337048,1980,2,0,0,0,326074,0,0,1,3,0,0,25,795000,175
20537098,309460,2,4087,82,0,266634,1959,3,0,0,0,270162,0,0,0,1,0,0,0,330000,425
20644432,359252,2,4087,106,0,337048,1980,2,0,0,0,336419,0,0,0,1,0,0,0,435000,525
20651799,347187,5,4087,240,0,395196,1920,2,0,0,0,422399,65,0,0,5,0,0,8,779000,525
20629025,309460,1,4087,75,0,395196,1977,2,0,0,0,422399,0,0,0,1,0,0,3,255000,225
20452787,309460,2,4087,115,0,279630,1933,3,0,0,0,422399,0,0,0,2,0,0,5,395000,175
20450441,347187,5,4087,252,0,337048,1930,4,0,0,0,422399,175,0,1,4,0,0,18,795000,225
20576807,347187,2,4087,90,0,337048,1910,2,0,0,0,422399,40,0,0,2,0,0,0,375000,425
20194841,358235,4,4087,149,0,337048,1890,2,0,0,0,336419,67,0,0,4,0,0,4,515000,525
20558646,175424,3,4087,37,0,395196,2023,2,0,0,0,422399,0,0,0,1,0,0,3,290000,75
20572190,309460,2,4087,72,0,337048,1998,3,0,0,0,422399,0,0,0,1,0,0,0,325000,225
